Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,1u,
C102,0603,1,10u,
C103,0402,1,C_15p_0402_NP0_5%_50V,
"C104, C105",0402,2,C_100n_0402_X7R_10%_50V,
D101,D_SOD-523,1,ESD5Z5.0T1G,
"H101, H102, H103",TE_2040852-1,3,Pad,
L101,L_Coilcraft_LPS3010,1,FTC252075S,
Q102,SOT-363_SC-70-6,1,FDG1024NZ-VB,
R101,0402,1,R_15K_0402_0W063_1%_100PPM_50V,
R102,0402,1,R_10K0_0402_0W063_1%_100PPM_50V,
R103,0603,1,100R,
"R104, R105, R106",0402,3,R_47K_0402_0W063_1%_100PPM_50V,
U102,SOT-553,1,SN74LVC1G14DRL,
U103,SOT-583-8,1,TPS62933DRLR,
