Designator,Mid X,Mid Y,Rotation,Layer
C101,103.05,-108.12,0.0,bottom
C102,106.2,-103.91,180.0,top
C103,100.95,-104.1,180.0,top
C104,105.19,-107.22,90.0,bottom
C105,105.8,-105.6,180.0,top
D101,101.16,-106.28,270.0,top
H101,101.75,-110.75,90.0,bottom
H102,104.25,-110.75,90.0,bottom
H103,106.750001,-110.75,90.0,bottom
L101,106.4,-104.4,90.0,bottom
Q102,103.35,-103.9,270.0,bottom
R101,106.75,-106.87,180.0,top
R102,102.0,-106.5,90.0,bottom
R103,100.8,-107.375,90.0,bottom
R104,104.2,-106.5,270.0,bottom
R105,103.31,-103.06,270.0,top
R106,102.9,-106.5,90.0,bottom
U102,100.9925,-104.07,90.0,bottom
U103,106.95,-107.59,90.0,bottom
