Designator,Mid X,Mid Y,Layer,Rotation
C101,50.95,-14.32,B,0.00
C101,9.25,-75.92,B,0.00
C101,9.25,-45.12,B,0.00
C101,37.05,-75.92,B,0.00
C101,9.25,-14.32,B,0.00
C101,53.35,-55.48,B,180.00
C101,39.45,-24.68,B,180.00
C101,37.05,-14.32,B,0.00
C101,11.65,-86.28,B,180.00
C101,11.65,-24.68,B,180.00
C101,37.05,-45.12,B,0.00
C101,25.55,-24.68,B,180.00
C101,53.35,-24.68,B,180.00
C101,23.15,-14.32,B,0.00
C101,39.45,-55.48,B,180.00
C101,23.15,-45.12,B,0.00
C101,25.55,-86.28,B,180.00
C101,25.55,-55.48,B,180.00
C101,23.15,-75.92,B,0.00
C101,50.95,-75.92,B,0.00
C101,39.45,-86.28,B,180.00
C101,53.35,-86.28,B,180.00
C101,11.65,-55.48,B,180.00
C101,50.95,-45.12,B,0.00
C102,35.15,-90.10,T,90.00
C102,55.25,-10.50,T,270.00
C102,49.05,-90.10,T,90.00
C102,41.35,-72.10,T,270.00
C102,41.35,-41.30,T,270.00
C102,7.35,-28.50,T,90.00
C102,35.15,-28.50,T,90.00
C102,55.25,-41.30,T,270.00
C102,21.25,-59.30,T,90.00
C102,21.25,-28.50,T,90.00
C102,41.35,-10.50,T,270.00
C102,7.35,-90.10,T,90.00
C102,21.25,-90.10,T,90.00
C102,49.05,-28.50,T,90.00
C102,7.35,-59.30,T,90.00
C102,13.55,-41.30,T,270.00
C102,35.15,-59.30,T,90.00
C102,27.45,-41.30,T,270.00
C102,13.55,-72.10,T,270.00
C102,13.55,-10.50,T,270.00
C102,27.45,-72.10,T,270.00
C102,55.25,-72.10,T,270.00
C102,49.05,-59.30,T,90.00
C102,27.45,-10.50,T,270.00
C103,13.80,-89.50,T,0.00
C103,48.80,-41.90,T,180.00
C103,41.60,-89.50,T,0.00
C103,41.60,-58.70,T,0.00
C103,13.80,-58.70,T,0.00
C103,27.70,-58.70,T,0.00
C103,55.50,-27.90,T,0.00
C103,21.00,-11.10,T,180.00
C103,21.00,-72.70,T,180.00
C103,7.10,-41.90,T,180.00
C103,55.50,-89.50,T,0.00
C103,48.80,-72.70,T,180.00
C103,41.60,-27.90,T,0.00
C103,7.10,-11.10,T,180.00
C103,34.90,-72.70,T,180.00
C103,21.00,-41.90,T,180.00
C103,34.90,-41.90,T,180.00
C103,27.70,-89.50,T,0.00
C103,27.70,-27.90,T,0.00
C103,48.80,-11.10,T,180.00
C103,7.10,-72.70,T,180.00
C103,34.90,-11.10,T,180.00
C103,55.50,-58.70,T,0.00
C103,13.80,-27.90,T,0.00
C104,23.41,-25.58,B,270.00
C104,51.21,-56.38,B,270.00
C104,11.39,-13.42,B,90.00
C104,37.31,-87.18,B,270.00
C104,9.51,-25.58,B,270.00
C104,53.09,-44.22,B,90.00
C104,11.39,-44.22,B,90.00
C104,23.41,-56.38,B,270.00
C104,51.21,-25.58,B,270.00
C104,53.09,-13.42,B,90.00
C104,39.19,-44.22,B,90.00
C104,51.21,-87.18,B,270.00
C104,23.41,-87.18,B,270.00
C104,37.31,-56.38,B,270.00
C104,9.51,-56.38,B,270.00
C104,37.31,-25.58,B,270.00
C104,25.29,-13.42,B,90.00
C104,11.39,-75.02,B,90.00
C104,25.29,-75.02,B,90.00
C104,53.09,-75.02,B,90.00
C104,25.29,-44.22,B,90.00
C104,39.19,-13.42,B,90.00
C104,39.19,-75.02,B,90.00
C104,9.51,-87.18,B,270.00
C105,41.50,-12.80,T,270.00
C105,55.40,-74.40,T,270.00
C105,21.10,-57.00,T,90.00
C105,35.00,-87.80,T,90.00
C105,27.60,-43.60,T,270.00
C105,7.20,-87.80,T,90.00
C105,55.40,-12.80,T,270.00
C105,27.60,-12.80,T,270.00
C105,21.10,-26.20,T,90.00
C105,41.50,-43.60,T,270.00
C105,13.70,-12.80,T,270.00
C105,13.70,-43.60,T,270.00
C105,48.90,-26.20,T,90.00
C105,13.70,-74.40,T,270.00
C105,48.90,-87.80,T,90.00
C105,7.20,-26.20,T,90.00
C105,7.20,-57.00,T,90.00
C105,55.40,-43.60,T,270.00
C105,35.00,-26.20,T,90.00
C105,27.60,-74.40,T,270.00
C105,21.10,-87.80,T,90.00
C105,48.90,-57.00,T,90.00
C105,41.50,-74.40,T,270.00
C105,35.00,-57.00,T,90.00
D101,27.70,-56.90,T,90.00
D101,34.90,-74.50,T,270.00
D101,55.50,-26.10,T,90.00
D101,27.70,-87.70,T,90.00
D101,13.80,-56.90,T,90.00
D101,21.00,-12.90,T,270.00
D101,55.50,-87.70,T,90.00
D101,41.60,-87.70,T,90.00
D101,48.80,-12.90,T,270.00
D101,55.50,-56.90,T,90.00
D101,7.10,-12.90,T,270.00
D101,13.80,-87.70,T,90.00
D101,41.60,-56.90,T,90.00
D101,48.80,-43.70,T,270.00
D101,7.10,-43.70,T,270.00
D101,34.90,-12.90,T,270.00
D101,21.00,-74.50,T,270.00
D101,41.60,-26.10,T,90.00
D101,7.10,-74.50,T,270.00
D101,13.80,-26.10,T,90.00
D101,21.00,-43.70,T,270.00
D101,34.90,-43.70,T,270.00
D101,48.80,-74.50,T,270.00
D101,27.70,-26.10,T,90.00
H101,26.85,-52.85,B,270.00
H101,12.95,-52.85,B,270.00
H101,49.65,-47.75,B,90.00
H101,49.65,-78.55,B,90.00
H101,35.75,-78.55,B,90.00
H101,35.75,-16.95,B,90.00
H101,7.95,-47.75,B,90.00
H101,26.85,-22.05,B,270.00
H101,12.95,-22.05,B,270.00
H101,21.85,-78.55,B,90.00
H101,21.85,-16.95,B,90.00
H101,40.75,-52.85,B,270.00
H101,54.65,-52.85,B,270.00
H101,26.85,-83.65,B,270.00
H101,21.85,-47.75,B,90.00
H101,49.65,-16.95,B,90.00
H101,12.95,-83.65,B,270.00
H101,40.75,-22.05,B,270.00
H101,35.75,-47.75,B,90.00
H101,7.95,-78.55,B,90.00
H101,7.95,-16.95,B,90.00
H101,40.75,-83.65,B,270.00
H101,54.65,-22.05,B,270.00
H101,54.65,-83.65,B,270.00
H102,10.45,-47.75,B,90.00
H102,52.15,-83.65,B,270.00
H102,24.35,-78.55,B,90.00
H102,38.25,-47.75,B,90.00
H102,52.15,-52.85,B,270.00
H102,52.15,-22.05,B,270.00
H102,52.15,-78.55,B,90.00
H102,38.25,-83.65,B,270.00
H102,10.45,-22.05,B,270.00
H102,10.45,-78.55,B,90.00
H102,38.25,-16.95,B,90.00
H102,24.35,-47.75,B,90.00
H102,10.45,-16.95,B,90.00
H102,52.15,-47.75,B,90.00
H102,38.25,-22.05,B,270.00
H102,24.35,-22.05,B,270.00
H102,10.45,-83.65,B,270.00
H102,24.35,-83.65,B,270.00
H102,24.35,-52.85,B,270.00
H102,10.45,-52.85,B,270.00
H102,38.25,-52.85,B,270.00
H102,52.15,-16.95,B,90.00
H102,24.35,-16.95,B,90.00
H102,38.25,-78.55,B,90.00
H103,49.65,-22.05,B,270.00
H103,40.75,-47.75,B,90.00
H103,40.75,-78.55,B,90.00
H103,49.65,-52.85,B,270.00
H103,26.85,-78.55,B,90.00
H103,12.95,-16.95,B,90.00
H103,7.95,-83.65,B,270.00
H103,21.85,-52.85,B,270.00
H103,7.95,-22.05,B,270.00
H103,54.65,-47.75,B,90.00
H103,40.75,-16.95,B,90.00
H103,49.65,-83.65,B,270.00
H103,26.85,-47.75,B,90.00
H103,12.95,-78.55,B,90.00
H103,21.85,-83.65,B,270.00
H103,54.65,-16.95,B,90.00
H103,35.75,-83.65,B,270.00
H103,21.85,-22.05,B,270.00
H103,35.75,-22.05,B,270.00
H103,26.85,-16.95,B,90.00
H103,35.75,-52.85,B,270.00
H103,54.65,-78.55,B,90.00
H103,12.95,-47.75,B,90.00
H103,7.95,-52.85,B,270.00
L101,36.10,-90.00,B,270.00
L101,8.30,-59.20,B,270.00
L101,50.00,-59.20,B,270.00
L101,12.60,-41.40,B,90.00
L101,8.30,-90.00,B,270.00
L101,40.40,-10.60,B,90.00
L101,22.20,-28.40,B,270.00
L101,22.20,-59.20,B,270.00
L101,12.60,-72.20,B,90.00
L101,26.50,-72.20,B,90.00
L101,36.10,-59.20,B,270.00
L101,8.30,-28.40,B,270.00
L101,22.20,-90.00,B,270.00
L101,54.30,-41.40,B,90.00
L101,50.00,-90.00,B,270.00
L101,12.60,-10.60,B,90.00
L101,54.30,-10.60,B,90.00
L101,26.50,-41.40,B,90.00
L101,40.40,-72.20,B,90.00
L101,36.10,-28.40,B,270.00
L101,50.00,-28.40,B,270.00
L101,54.30,-72.20,B,90.00
L101,26.50,-10.60,B,90.00
L101,40.40,-41.40,B,90.00
Q102,51.25,-71.70,B,90.00
Q102,51.25,-10.10,B,90.00
Q102,53.05,-90.50,B,270.00
Q102,51.25,-40.90,B,90.00
Q102,25.25,-28.90,B,270.00
Q102,53.05,-59.70,B,270.00
Q102,9.55,-71.70,B,90.00
Q102,11.35,-90.50,B,270.00
Q102,23.45,-71.70,B,90.00
Q102,37.35,-10.10,B,90.00
Q102,37.35,-40.90,B,90.00
Q102,39.15,-59.70,B,270.00
Q102,25.25,-90.50,B,270.00
Q102,11.35,-28.90,B,270.00
Q102,9.55,-40.90,B,90.00
Q102,11.35,-59.70,B,270.00
Q102,23.45,-40.90,B,90.00
Q102,9.55,-10.10,B,90.00
Q102,39.15,-28.90,B,270.00
Q102,37.35,-71.70,B,90.00
Q102,39.15,-90.50,B,270.00
Q102,23.45,-10.10,B,90.00
Q102,53.05,-28.90,B,270.00
Q102,25.25,-59.70,B,270.00
R101,49.00,-54.90,T,90.00
R101,41.40,-14.90,T,270.00
R101,21.20,-24.10,T,90.00
R101,27.50,-45.70,T,270.00
R101,27.50,-14.90,T,270.00
R101,35.10,-24.10,T,90.00
R101,55.30,-76.50,T,270.00
R101,41.40,-45.70,T,270.00
R101,21.20,-54.90,T,90.00
R101,55.30,-14.90,T,270.00
R101,13.60,-45.70,T,270.00
R101,7.30,-85.70,T,90.00
R101,21.20,-85.70,T,90.00
R101,35.10,-85.70,T,90.00
R101,55.30,-45.70,T,270.00
R101,13.60,-14.90,T,270.00
R101,35.10,-54.90,T,90.00
R101,27.50,-76.50,T,270.00
R101,41.40,-76.50,T,270.00
R101,13.60,-76.50,T,270.00
R101,49.00,-24.10,T,90.00
R101,49.00,-85.70,T,90.00
R101,7.30,-54.90,T,90.00
R101,7.30,-24.10,T,90.00
R102,22.10,-74.30,B,90.00
R102,49.90,-74.30,B,90.00
R102,22.10,-12.70,B,90.00
R102,40.50,-26.30,B,270.00
R102,8.20,-12.70,B,90.00
R102,40.50,-57.10,B,270.00
R102,12.70,-87.90,B,270.00
R102,8.20,-74.30,B,90.00
R102,12.70,-57.10,B,270.00
R102,54.40,-87.90,B,270.00
R102,54.40,-26.30,B,270.00
R102,36.00,-12.70,B,90.00
R102,26.60,-26.30,B,270.00
R102,49.90,-43.50,B,90.00
R102,54.40,-57.10,B,270.00
R102,49.90,-12.70,B,90.00
R102,12.70,-26.30,B,270.00
R102,8.20,-43.50,B,90.00
R102,22.10,-43.50,B,90.00
R102,36.00,-74.30,B,90.00
R102,36.00,-43.50,B,90.00
R102,40.50,-87.90,B,270.00
R102,26.60,-87.90,B,270.00
R102,26.60,-57.10,B,270.00
R103,41.70,-56.23,B,270.00
R103,13.90,-56.23,B,270.00
R103,27.80,-25.43,B,270.00
